Dialogue_History,Strategy_History,Speaker_Turn,Gold_Standard,Next_Strategy
"Uh, uh I would say a little over that. </s> Okay, okay. </s> Especially with midterms coming up. </s> Okay, so it's kind of a way to cope through stress? </s> Yeah.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,"Right, and is that something that has been, you know, a way of coping for a while?",2
"Especially with midterms coming up. </s> Okay, so it's kind of a way to cope through stress? </s> Yeah. </s> Right, and is that something that has been, you know, a way of coping for a while? </s> Yeah. Yeah, I guess.","[-1, 1, -1, 2, -1]",seeker supporter seeker supporter seeker,Okay. Does that concern you at all?,2
"Yeah. </s> Right, and is that something that has been, you know, a way of coping for a while? </s> Yeah. Yeah, I guess. </s> Okay. Does that concern you at all? </s> Um, I mean, the 10 drinks seems like not a lot, uh, for like-for me and like my tolerance.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,Mm-hmm.,5
"Yeah. Yeah, I guess. </s> Okay. Does that concern you at all? </s> Um, I mean, the 10 drinks seems like not a lot, uh, for like-for me and like my tolerance. </s> Mm-hmm. </s> I guess I've kind of built it up over the years.","[-1, 2, -1, 5, -1]",seeker supporter seeker supporter seeker,Okay.,5
"Um, I mean, the 10 drinks seems like not a lot, uh, for like-for me and like my tolerance. </s> Mm-hmm. </s> I guess I've kind of built it up over the years. </s> Okay. </s> Um, so that's a little- a little bit, uh, concerning I guess to me.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,Do you feel like you have any reasons to kind of bring your alcohol use down within the limits?,2
"I guess I've kind of built it up over the years. </s> Okay. </s> Um, so that's a little- a little bit, uh, concerning I guess to me. </s> Do you feel like you have any reasons to kind of bring your alcohol use down within the limits? </s> Uh, any reason to? Uh, I guess health-health reasons.","[-1, 5, -1, 2, -1]",seeker supporter seeker supporter seeker,Tell me more about that.,3
"Um, so that's a little- a little bit, uh, concerning I guess to me. </s> Do you feel like you have any reasons to kind of bring your alcohol use down within the limits? </s> Uh, any reason to? Uh, I guess health-health reasons. </s> Tell me more about that. </s> Um, well, I mean, clearly I don't feel good right now. Um, and it's-- I definitely feel more productive when I don't have a hangover. Uh, so I see a benefit.","[-1, 2, -1, 3, -1]",seeker supporter seeker supporter seeker,So you can see some advantages to reducing the amount of drinking-,0
"Uh, any reason to? Uh, I guess health-health reasons. </s> Tell me more about that. </s> Um, well, I mean, clearly I don't feel good right now. Um, and it's-- I definitely feel more productive when I don't have a hangover. Uh, so I see a benefit. </s> So you can see some advantages to reducing the amount of drinking- </s> Yeah.","[-1, 3, -1, 0, -1]",seeker supporter seeker supporter seeker,"-um, that you consume during the week?",2
"Um, well, I mean, clearly I don't feel good right now. Um, and it's-- I definitely feel more productive when I don't have a hangover. Uh, so I see a benefit. </s> So you can see some advantages to reducing the amount of drinking- </s> Yeah. </s> -um, that you consume during the week? </s> Yeah","[-1, 0, -1, 2, -1]",seeker supporter seeker supporter seeker,Is this something you would be willing to explore with me a little further at another time maybe when you're feeling a little bit better? Is this something you'd be willing to come back and talk to me about?,2
"Yeah. </s> -um, that you consume during the week? </s> Yeah </s> Is this something you would be willing to explore with me a little further at another time maybe when you're feeling a little bit better? Is this something you'd be willing to come back and talk to me about? </s> Yeah, yeah, I think when I'm feeling a little- a little better. Maybe when I haven't gone all out the-the night before and sprained my ankle.","[-1, 2, -1, 2, -1]",seeker supporter seeker supporter seeker,"I'd love to, uh, set up an appointment for you if you can come in later this week or early next week to-",6
"Yeah </s> Is this something you would be willing to explore with me a little further at another time maybe when you're feeling a little bit better? Is this something you'd be willing to come back and talk to me about? </s> Yeah, yeah, I think when I'm feeling a little- a little better. Maybe when I haven't gone all out the-the night before and sprained my ankle. </s> I'd love to, uh, set up an appointment for you if you can come in later this week or early next week to- </s> Okay, okay.","[-1, 2, -1, 6, -1]",seeker supporter seeker supporter seeker,-kind of explore this a little bit further and maybe some of those advantages of reducing to the safe limits. Is that something that we could do?,6
"Yeah, yeah, I think when I'm feeling a little- a little better. Maybe when I haven't gone all out the-the night before and sprained my ankle. </s> I'd love to, uh, set up an appointment for you if you can come in later this week or early next week to- </s> Okay, okay. </s> -kind of explore this a little bit further and maybe some of those advantages of reducing to the safe limits. Is that something that we could do? </s> Sure. Yeah, just not on a Saturday morning. [chuckles]","[-1, 6, -1, 6, -1]",seeker supporter seeker supporter seeker,That's okay with me.,5
"Okay, okay. </s> -kind of explore this a little bit further and maybe some of those advantages of reducing to the safe limits. Is that something that we could do? </s> Sure. Yeah, just not on a Saturday morning. [chuckles] </s> That's okay with me. </s> Okay.","[-1, 6, -1, 5, -1]",seeker supporter seeker supporter seeker,Thank you.,5
<START>,[-1],None,"Okay, hard part's over. So the good news is no cavities.",4
"<START> </s> Okay, hard part's over. So the good news is no cavities. </s> Oh, great.","[-1, 4, -1]",None supporter seeker,"Yes, always happy to hear that. I do have some concerns though because I'm seeing some irritation in your mouth in the palate that's called nicotinic stomatitis and-",4
"<START> </s> Okay, hard part's over. So the good news is no cavities. </s> Oh, great. </s> Yes, always happy to hear that. I do have some concerns though because I'm seeing some irritation in your mouth in the palate that's called nicotinic stomatitis and- </s> That sounds bad.","[-1, 4, -1, 4, -1]",None supporter seeker supporter seeker,"Yeah, it is. It's some damage to the roof of your mouth that happens from tobacco smoking and so I'm wondering if you can tell me a little bit how-- about how tobacco fits in your life right now.",4
"Oh, great. </s> Yes, always happy to hear that. I do have some concerns though because I'm seeing some irritation in your mouth in the palate that's called nicotinic stomatitis and- </s> That sounds bad. </s> Yeah, it is. It's some damage to the roof of your mouth that happens from tobacco smoking and so I'm wondering if you can tell me a little bit how-- about how tobacco fits in your life right now. </s> Tobacco. Well, I don't smoke cigarettes. I've never smoked cigarettes. I do go out with my friends. Um, you know, we go out to bars and, you know, we'll have a few drinks and smoke some of those little cigarillo-type things. I mean I wouldn't even think of them as cigars and they're certainly not cigarettes. Um, and I mean I'll have one or two of those in an evening with, uh, with my friends but certainly not 20 or 30 of them a day like you would with cigarettes and that's the only thing that could possibly have anything to do with tobacco.","[-1, 4, -1, 4, -1]",seeker supporter seeker supporter seeker,"So you've made a decision in your life not to smoke cigarettes, that's something you didn't want to do. It sounds like you're kinda concerned about the health effects of cigarettes. But you have been smoking the little cigarillos at least one or two every time you go out.",1
"That sounds bad. </s> Yeah, it is. It's some damage to the roof of your mouth that happens from tobacco smoking and so I'm wondering if you can tell me a little bit how-- about how tobacco fits in your life right now. </s> Tobacco. Well, I don't smoke cigarettes. I've never smoked cigarettes. I do go out with my friends. Um, you know, we go out to bars and, you know, we'll have a few drinks and smoke some of those little cigarillo-type things. I mean I wouldn't even think of them as cigars and they're certainly not cigarettes. Um, and I mean I'll have one or two of those in an evening with, uh, with my friends but certainly not 20 or 30 of them a day like you would with cigarettes and that's the only thing that could possibly have anything to do with tobacco. </s> So you've made a decision in your life not to smoke cigarettes, that's something you didn't want to do. It sounds like you're kinda concerned about the health effects of cigarettes. But you have been smoking the little cigarillos at least one or two every time you go out. </s> But that's- that's just like a- a social thing. That's something that my friends and I do. We-- We-- It's not habit or something that I have to have and, you know, talking about one or two when we go out for an evening. Not packs of them.","[-1, 4, -1, 1, -1]",seeker supporter seeker supporter seeker,"Yeah, so you're not-- You're not like those chain smokers, you're not smoking packs and packs a day.",1
